id	source_id	related_id	quantity	sort_order
2E58C71275AF42129395F5AD115F6446	83890B1872744031BBB8EC2DBC37D5C6	01B2F67D451D491D84FD5209F44A8F35	5	10
931A95DF6B6D4C19921C80FAC5F46FD4	4C40CCBC9E864E9CA7BE8A93423BD362	02963C4DABE44E12A243C5CB3FA322DF	4	20
0CAF179A13AF4F15BDBD2BB9BC446279	83890B1872744031BBB8EC2DBC37D5C6	03DCBD82677B410491495758318D96DB	3	100
BDE5A89C4D7B4A5A8C5FFEFAB5FE726C	6020DB29814C4D838E60D315A1C95E8C	03E6B50FF17441168C73A1FF5ABCF891	4	100
D401DDA563AE4F0B80CB22EB897B1144	8280D575FED242A89F2B763E5C3496C1	048B35C3F4354EF48034AB11BA603308	1	10
38D9865DCD124489B2390FFD1257BC20	8207FD7C23744F3B94ED75B8BDA76FCA	052B70BA995D47CF834EF103CCE0D85E	1	40
7B8B91E3AC2F456085B41D2476B9D470	C505C3BB83EC46F383C1E5CFA67AACD2	052B70BA995D47CF834EF103CCE0D85E	1	40
04CEB3E9412F4C9DA4E8F7715B58684D	83890B1872744031BBB8EC2DBC37D5C6	05C374CDA229443D8AE292B96431DEBC	8	160
0345A41B79C742B9B0B3361CF81E6E85	01B2F67D451D491D84FD5209F44A8F35	07E827B747AE43648AF8C47EAAA9DC16	1	65
C98621C777D041D5ADBE28CE00653DF5	4C40CCBC9E864E9CA7BE8A93423BD362	09D925EEE1614683BEDF9F2FEF996B23	4	65
28131D514896482789E723A9074B1FFA	052B70BA995D47CF834EF103CCE0D85E	0DA543DA8B5947DE99F54B39E6AC2357	1	10
FE961F51D1B640D6AB308EEFA57469F7	01B2F67D451D491D84FD5209F44A8F35	0E41EABB155B4380A95A661780B839D8	2	45
F0EAFEFFCE6D49E194D6A978105DED6C	8E26F2709346433798969AE85A14BF25	0EDAA4188E4C4BA981FD4518B5C5DDAD	1	45
DCE2C75EAF484A0A8A3030FA9806BB47	32E4F0D6C32243B7853FC21782C2D9A4	10A19507C6B14AE7A74812358C7B6130	2	90
184EAA0914744C968EDA8D183F91C2D0	6020DB29814C4D838E60D315A1C95E8C	11BB52561B524B27A3970BC7188C6854	1	45
A454FFFC2C174E58A9C1B96289C8772F	4671046481084A79BC25AAA2523E9CC3	1213E2030EBD4FE58316993FD42D74A7	4	40
6E22E897551F4C5BB34143A23A4969BD	83890B1872744031BBB8EC2DBC37D5C6	125E900B5D6149DA9BA02BA7783C68BD	20	115
C54FD4D6D4E04938BEADC7FBE0CC4FC6	6D511886B1E946CC9C5E78C29D2D8383	1398E942DAB948BAA7E0FAEAE04BA921	2	10
F8CFFC97AD9E4920A4891FC937A4978A	0EDAA4188E4C4BA981FD4518B5C5DDAD	14F871DA13A340F2866D2AD639D5B79A	1	10
215F3B6754A34990802535B7A72323DD	0EDAA4188E4C4BA981FD4518B5C5DDAD	9EF0132A1A5E4295B578CA22C1F74EE8	1	11
8F2A0D5B3436473892A320F0226E02AE	83890B1872744031BBB8EC2DBC37D5C6	1527A8A174214EF9984E886630C89CDA	5	120
2108077B42CC428D9316C8CE01F23A74	01B2F67D451D491D84FD5209F44A8F35	155C8C64CADE4900B47488484A45B032	1	60
3D5EA5ABABB84C7EBE3EF43B5F0D847F	526C66B626B64BCB869ACBB083A900A3	18600EFF66564595B3545D5638E6E446	1	40
D1AF5C89CA6D4AB5A7762A4CBC84ED2D	526C66B626B64BCB869ACBB083A900A3	1906C46491C0445889D8A828248EF1F8	2	5
BFDCDF63666649A79B408792FDE3C8A7	83890B1872744031BBB8EC2DBC37D5C6	1995FDAE00EE4D88AC762AA1BF404075	3	200
5F1006DEC8A44E89A9515E88C26D06EB	526C66B626B64BCB869ACBB083A900A3	1A8DD513009C47789DCB8BDF9937DA4A	1	55
64A25467CDD5496EA88D529B553B920E	4671046481084A79BC25AAA2523E9CC3	1A8DD513009C47789DCB8BDF9937DA4A	2	50
6DCE92E7455D4373995F5398C803BDF7	4AE1B244824F42C49811A6FC33431D5E	1AD8E9CD891D417685168555202E051B	1	10
C5AF8A02FC7749C2BBAF122EC282304A	052B70BA995D47CF834EF103CCE0D85E	1BE702134FE64333B4DD1F33DF464BB2	2	5
2FAFA5BE59D44049A44030AF3F76BB0F	A8D5E839DF11472A86619F0E519134FE	1C8EEDC07A6345EC8B07F9031AEDDA46	4	15
482D6173DFE949AAA476A9F829BB197B	8E26F2709346433798969AE85A14BF25	1D60FBC213AC49769AA953FA28EAFD43	1	40
0B29F1151ACF412FB14B99219D36AD9B	32E4F0D6C32243B7853FC21782C2D9A4	1E15DD3CFE944908830A07E6174648F2	4	80
E1E5172EB9E646038639CA91EBF38D77	83890B1872744031BBB8EC2DBC37D5C6	1F343F6E90B342109E01B3DBD26A1A98	1	170
27D39426FD42470CAAB529DCE40F8883	8E26F2709346433798969AE85A14BF25	20D920CAC7854A5EB3BC6FA8B5B5B4EE	6	5
96C832A9F7DA46E1AA020603E4B1DB77	731FC75EC97642ED9DEB270AB0F0B505	244A8D77406E413A8D2BDC21558327CB	38	10
B42D2CB0A3394AECB0840D9DBBDAB7E4	4C40CCBC9E864E9CA7BE8A93423BD362	244A8D77406E413A8D2BDC21558327CB	24	10
BA5AD89529A445169BF23331928A2FF5	6CF4ADC43C0F47ECAF87A292349AE17B	244A8D77406E413A8D2BDC21558327CB	15	5
D5A46D7EB8E7471F8AE2618B2EBA7A23	6020DB29814C4D838E60D315A1C95E8C	244A8D77406E413A8D2BDC21558327CB	14	30
F9DDE03B936645FBBCBFBDE32901F259	83890B1872744031BBB8EC2DBC37D5C6	24FEE125CF0443808A9F2D5FF92F784F	2	130
7270BB9AD0814796B6393724F6AF0AA3	B45D963DC92D418F93889CBE3538DE25	25E3941DBCF5460EB8044C0E4A6B55CF	1	5
6E750AD84CFC43A5A8859225C22640C4	B45D963DC92D418F93889CBE3538DE25	26ABA42FB5614F5D85FE71CC4049E754	10	25
0E8183D67D47421F91C73E4D6E3BB689	32E4F0D6C32243B7853FC21782C2D9A4	272D01E1DB72482DBDDE21293D13474F	2	95
0F66CD1CEE194AB48F58339DA10E552C	052B70BA995D47CF834EF103CCE0D85E	272D01E1DB72482DBDDE21293D13474F	2	25
773DDEF402BB4377B509E9D70E16D12C	83890B1872744031BBB8EC2DBC37D5C6	298EBF22A0A04AFBBF3B807E0FAEEF96	1	15
E9B036BCA0B7454C9C03861AB30B717E	83890B1872744031BBB8EC2DBC37D5C6	2B0A9C4FB28642738B6D756AE6CA0DB8	1	140
1F5F13E501744757876206B3468CCE83	32E4F0D6C32243B7853FC21782C2D9A4	2C6561CD9F21402EBBDB14822EE3A346	4	40
ED94D31F5498433188D3E918B9BE02AF	9EF3CD4874C6451E8166FFF2605BFB71	2C6561CD9F21402EBBDB14822EE3A346	2	10
568D3E0137BF447796CD0837541CE249	E763CACCEF1C4C45B206DEE84DAB80B8	2C997FC81EBA4B2CB9C32E06812A7AC7	4	10
73921F67BBF54EBA92D9F940C829C201	4AE1B244824F42C49811A6FC33431D5E	2D75C43A439E425AAFBC6BA75E9922B6	1	15
0FF4DA64A7224D8F9B341C60395E1285	F4DA6D26838A40F4B0AB154A4288488B	2D967C7D1DC94B879770A5331D45E256	1	40
952D947F4162418AB97815E915B9EA46	8E26F2709346433798969AE85A14BF25	2DB5633B721C41489959D08A0BE326FA	1	20
B3D46AB5E9274A258B04490F40AD4054	4AE1B244824F42C49811A6FC33431D5E	2F13F8E06AB141DC99F9312B31E307BE	2	5
7D116933F6104233885AA764F47DF012	83890B1872744031BBB8EC2DBC37D5C6	3015E92BDB3C48AE92514C50C24F9471	1	210
2376361E576B4D6B889AD435EDC71FF4	32E4F0D6C32243B7853FC21782C2D9A4	32CAB391549C40BD90461997B0E75FA2	1	20
0983F787C1344FF9855C12BF175ACC5E	8207FD7C23744F3B94ED75B8BDA76FCA	32E4F0D6C32243B7853FC21782C2D9A4	1	10
F02E27F1CA874B0B83B66CD581F048C1	C505C3BB83EC46F383C1E5CFA67AACD2	32E4F0D6C32243B7853FC21782C2D9A4	1	10
48FA38F4DC8A4FCB9E40A7662B44CFE1	83890B1872744031BBB8EC2DBC37D5C6	336B9D1C58284077A6D56CCB404C57EC	1	225
FD2F1A0C718E469AB468AFAC4218DA90	7ED875D438FA400495A5968647376A2D	35572CBF727C4ECB8B40D0D872024E8C	1	30
F95A392BCD264645BE7AD70CB772DEB8	B45D963DC92D418F93889CBE3538DE25	3566D143207046E2BBF63708012F4C97	1	65
FACE41B99C0946EABAB8A29841D7C6D1	6D511886B1E946CC9C5E78C29D2D8383	3620D4920F0E4293B571FA64E256C558	6	30
67436A2F02174C97A93C9D631F45BA4E	83890B1872744031BBB8EC2DBC37D5C6	37280634371E42F291A6B1D906A430D6	4	95
655A6B5AAB5F4B958DB564610F646C81	B45D963DC92D418F93889CBE3538DE25	3A972DCC9F8643829B3E8FDF4A2C17A9	1	45
2CA8771995AC4BA3816ABF95300FACEB	8207FD7C23744F3B94ED75B8BDA76FCA	3AEFB5C97E964E0C8915370092022410	1	45
CCF1893B876149A89131C4E213594E7D	C505C3BB83EC46F383C1E5CFA67AACD2	3AEFB5C97E964E0C8915370092022410	1	45
A006C98BA0C04F1ABC0AACD1869B7E62	7ED875D438FA400495A5968647376A2D	3DEB292D0C9F4AFD993B948F8DE603E8	1	25
B858AB7D238B4F4CB861F5A5A93351DA	8E26F2709346433798969AE85A14BF25	406792ADF7924AF78A7070A4DD2FA274	2	35
45EB82133C9246048E2B5833B4EA3076	6020DB29814C4D838E60D315A1C95E8C	4331B846DAD84C098B0B6842F91DD531	2	90
30D5ECD3F47446EE916270D736F7357E	83890B1872744031BBB8EC2DBC37D5C6	45A9523A26994917830B9F97A0962155	15	80
39FA10B5BED241B8A04170BB32BF17EC	8207FD7C23744F3B94ED75B8BDA76FCA	4671046481084A79BC25AAA2523E9CC3	1	5
AB443CBD974D4297AFF74F3A3873E76E	C505C3BB83EC46F383C1E5CFA67AACD2	4671046481084A79BC25AAA2523E9CC3	1	5
4E0D2210CABB46A69BC190390889CC2E	4C40CCBC9E864E9CA7BE8A93423BD362	49BCE3D0ED7B494DBDD5F8B49246FD75	4	45
438C2B185F6C493BB4BEEF60FF21883F	4C40CCBC9E864E9CA7BE8A93423BD362	4AB823CEF08042D5B322AF062895F98C	4	40
B320BBF51BFA43FFA997ACFFAB04716C	6020DB29814C4D838E60D315A1C95E8C	4AB823CEF08042D5B322AF062895F98C	4	50
FCC323492FDE40A9A1D3E7B445291399	6D511886B1E946CC9C5E78C29D2D8383	4AB823CEF08042D5B322AF062895F98C	2	40
CFC4186A888B47F8BC943D59D2618C08	8280D575FED242A89F2B763E5C3496C1	4AE1B244824F42C49811A6FC33431D5E	1	15
42CB96DC605540909CDAC696E7DCDC63	83890B1872744031BBB8EC2DBC37D5C6	4AF45C91779E4D0B92B5EF17A366B5DC	5	105
A0A14B868A334B19B2E2161B27C269BA	C505C3BB83EC46F383C1E5CFA67AACD2	4C40CCBC9E864E9CA7BE8A93423BD362	1	25
E8F4CD1C9D6345B28C0EDDD7E91CC057	8207FD7C23744F3B94ED75B8BDA76FCA	4C40CCBC9E864E9CA7BE8A93423BD362	1	25
487C4D4C88D04C6AB24AE72EFB1F0504	B45D963DC92D418F93889CBE3538DE25	506E4C80DB7C4C22ADDCC4F0FD28E699	2	35
3F3CD9E1492A46009F147BEAEA1A2F7F	8207FD7C23744F3B94ED75B8BDA76FCA	526C66B626B64BCB869ACBB083A900A3	1	20
8F4B744F8B484CD4BE3733AC114799C2	C505C3BB83EC46F383C1E5CFA67AACD2	526C66B626B64BCB869ACBB083A900A3	1	20
FCEE9064BB694C4CBD084253B5ABAC01	83890B1872744031BBB8EC2DBC37D5C6	53769B210B184955AD40DF6D04BCA7CF	1	45
4FF6123EA799418892BAA7645EF20E2E	32E4F0D6C32243B7853FC21782C2D9A4	53FC97F610FF4C28934334957D2F69AE	1	25
20F47C88C38345FE846F73064ABAD61F	01B2F67D451D491D84FD5209F44A8F35	5782171FADC14CA5B8DC988ACA435617	2	40
9B658D228DAD402FAD74A8D1362F7AD1	6D511886B1E946CC9C5E78C29D2D8383	5932FA4E8E0F4471B5C8497E2D29DD05	4	20
B98DED8BCEB24159AD1DEE0E49874C7A	83890B1872744031BBB8EC2DBC37D5C6	5A4CCC84AB594E05AD12D5C9D584A220	4	195
F030551A18124A8A97F0EF8B79D7141B	4C40CCBC9E864E9CA7BE8A93423BD362	5B13D8E6502A43D0A19C237100A400A5	2	30
1A8C30B6E9C04E98AB98C6C32FE0FF50	83890B1872744031BBB8EC2DBC37D5C6	5C2D1B651E4442819BAD4C4818EDA25A	10	155
40F5338CFD184F70BBE92E08D76C1320	4C40CCBC9E864E9CA7BE8A93423BD362	5CB59A4D2330437B80B982518B2B9901	8	35
E414C0C6D1D14AE796F4597C607888E0	83890B1872744031BBB8EC2DBC37D5C6	5EEC4BE9C8E142CB935538F8E091970C	3	220
70F275EB3A384201BA1CC70653613EF1	8207FD7C23744F3B94ED75B8BDA76FCA	6020DB29814C4D838E60D315A1C95E8C	1	30
BF9F78C62FC6481B98104AE1FD0D2601	C505C3BB83EC46F383C1E5CFA67AACD2	6020DB29814C4D838E60D315A1C95E8C	1	30
F7B96A28F0694958ADD470981B72CA7A	3AEFB5C97E964E0C8915370092022410	60B80ED3B4664550B85D21D590EE88C6	8	10
E63CA033907F491E8E8C07CFCAC67910	4671046481084A79BC25AAA2523E9CC3	615A864791234ACF85B26E8D5E81B08C	1	10
C5A2BE5E946E4ECFA5381E578FEA5559	83890B1872744031BBB8EC2DBC37D5C6	61CFB47EE1DF4FBFBB9A38FC53CBEA04	6	230
B6F40102D9E24D778307B6EF0AF3CEA8	6020DB29814C4D838E60D315A1C95E8C	63FDE786A9DD40A5B090511DEB0F6419	1	40
961C88042EE043C39D660F03342A9B24	32E4F0D6C32243B7853FC21782C2D9A4	6494C1D1DCCA426A961368F53DDCA553	2	100
D1F763F4361A40B6A86BCB8EE8D40E58	83890B1872744031BBB8EC2DBC37D5C6	66945587B51C43A5B2E9434F58A3265F	1	30
DC560DD3A4344F3090F9C5C9177C3786	32E4F0D6C32243B7853FC21782C2D9A4	67279A7BB9884423AC4E41C4C1DA5B24	2	30
13372F9624204F3FBF24931B0F9CF736	32E4F0D6C32243B7853FC21782C2D9A4	57E0CAD7E98E4845B5DFF8809E264F15	2	29
23526F9E94DA43BEAAC0E5B9D2973DB7	F4DA6D26838A40F4B0AB154A4288488B	6BF132C3031B452C9CB8D16AACEEB6FF	1	20
4A813324B5994DC5845B6878B4159117	526C66B626B64BCB869ACBB083A900A3	6CF3D3080E994B5F925D2D612575E056	1	35
6FB20D911BF34819968D861FDEADCB6E	8280D575FED242A89F2B763E5C3496C1	6CF4ADC43C0F47ECAF87A292349AE17B	1	5
9D7D376E91834CEBA41DF8C893E2B669	B45D963DC92D418F93889CBE3538DE25	6D19D192783242B485C3DE5DFDDE5619	5	30
F75CA12040D84394A27FB5A382539C7B	32E4F0D6C32243B7853FC21782C2D9A4	6D511886B1E946CC9C5E78C29D2D8383	1	55
3F4A4BE079BB4B3B826C0FC0D50F9043	32E4F0D6C32243B7853FC21782C2D9A4	6E214A35594C42E2B23A0436022DE3D9	2	75
