id	source_id	effs_scope_id	definition
00FD05B345C7421A8D76BA2062BBA4BA	13372F9624204F3FBF24931B0F9CF736	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="8AAAA334ED744378B9B7D065C30A9FB8"></named-constant></EQ></expression>
6BA646D3495D4DCC828B168F2A35C03B	DC560DD3A4344F3090F9C5C9177C3786	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="5B01962186554F2688FD1401A6440D16"></named-constant></EQ></expression>
DEB1E3AEB14B4A9E8BC52FF9F2BF5308	5189CE20FA5946C4BD7A558FB9064731	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="8AAAA334ED744378B9B7D065C30A9FB8"></named-constant></EQ></expression>
4227C1652BA9498DB000B0582FAFE8B0	A3C6438A35C4429A8984F42A4A1443A4	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="5B01962186554F2688FD1401A6440D16"></named-constant></EQ></expression>
91C6BCD1AB3A4852B91F914D34B6E248	8668E3C9A2574E8181B7E0D68C6B93DD	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="8AAAA334ED744378B9B7D065C30A9FB8"></named-constant></EQ></expression>
8A25347DD4A64D3A870219A338FCC674	0FDA308C86BC42A984C50AAFACA561F7	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="5B01962186554F2688FD1401A6440D16"></named-constant></EQ></expression>
5E4CE912061C4E798C5B19599B6CCF69	F8CFFC97AD9E4920A4891FC937A4978A	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="8AAAA334ED744378B9B7D065C30A9FB8"></named-constant></EQ></expression>
4F487D899CC64018BE14F9E13F217DFB	215F3B6754A34990802535B7A72323DD	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="5B01962186554F2688FD1401A6440D16"></named-constant></EQ></expression>
7957B5F84B11485E81F90765B407C701	90C787FFED344DC9AB8315DFD496F2F8	AC9CF6740AB249A9814DC20B76F8C57C	<expression><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="8AAAA334ED744378B9B7D065C30A9FB8"></named-constant></EQ></expression>
C78CC2343C39404B9F11AB90E29A0676	90C787FFED344DC9AB8315DFD496F2F8	AC9CF6740AB249A9814DC20B76F8C57C	<expression><AND><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="5B01962186554F2688FD1401A6440D16"></named-constant></EQ><LE><variable id="36D3FBB2D55644CF81ED01131AAEE048"></variable><constant type="int">99</constant></LE></AND></expression>
53AC120DBA274FFAB837EB0EC0349A7B	D32A48AB1F2A461BB0C78B48ED639196	AC9CF6740AB249A9814DC20B76F8C57C	<expression><AND><EQ><variable id="9372906AA6064D608C96D6E9C843AF93"></variable><named-constant id="5B01962186554F2688FD1401A6440D16"></named-constant></EQ><GE><variable id="36D3FBB2D55644CF81ED01131AAEE048"></variable><constant type="int">100</constant></GE></AND></expression>
7B8DEB6D985A4CE0A015B6DAFD9E0FBB	DDF3A9FD5F8D49799060E9276B30D9FE	AC9CF6740AB249A9814DC20B76F8C57C	<expression><GE><variable id="77C45F4AFCEA4DA2BDE6D1E54D413A15"></variable><constant type="datetime">2018-06-15</constant></GE></expression>
